album_name,ep,album_release,track_number,track_name,artist,featuring,bonus_track,promotional_release,,
Speak Now,FALSE,25/10/2010,14,Long Live,Taylor Swift,NA,FALSE,NA,,
Speak Now,FALSE,25/10/2010,15,Ours,Taylor Swift,NA,TRUE,NA,,
Speak Now,FALSE,25/10/2010,16,If This Was A Movie,Taylor Swift,NA,TRUE,8/11/2010,,
Speak Now,FALSE,25/10/2010,17,Superman,Taylor Swift,NA,TRUE,8/11/2010,,
Red (Taylor's Version),FALSE,12/11/2021,1,State Of Grace (Taylor's Version),Taylor Swift,NA,FALSE,NA,,
Red (Taylor's Version),FALSE,12/11/2021,2,Red (Taylor's Version),Taylor Swift,NA,FALSE,NA,,
Red (Taylor's Version),FALSE,12/11/2021,3,Treacherous (Taylor's Version),Taylor Swift,NA,FALSE,NA,,
Red (Taylor's Version),FALSE,12/11/2021,4,I Knew You Were Trouble (Taylor's Version),Taylor Swift,NA,FALSE,NA,,
Red (Taylor's Version),FALSE,12/11/2021,5,All Too Well (Taylor's Version),Taylor Swift,NA,FALSE,NA,,
Red (Taylor's Version),FALSE,12/11/2021,6,22 (Taylor's Version),Taylor Swift,NA,FALSE,NA,,
Red (Taylor's Version),FALSE,12/11/2021,7,I Almost Do (Taylor's Version),Taylor Swift,NA,FALSE,NA,,
Red (Taylor's Version),FALSE,12/11/2021,8,We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,NA,FALSE,NA,,
Red (Taylor's Version),FALSE,12/11/2021,9,Stay Stay Stay (Taylor's Version),Taylor Swift,NA,FALSE,NA,,
Red (Taylor's Version),FALSE,12/11/2021,10,The Last Time (Taylor's Version),Taylor Swift,Gary Lightbody,FALSE,NA,,
Red (Taylor's Version),FALSE,12/11/2021,11,Holy Ground (Taylor's Version),Taylor Swift,NA,FALSE,NA,,
Red (Taylor's Version),FALSE,12/11/2021,12,Sad Beautiful Tragic (Taylor's Version),Taylor Swift,NA,FALSE,NA,,
Red (Taylor's Version),FALSE,12/11/2021,13,The Lucky One (Taylor's Version),Taylor Swift,NA,FALSE,NA,,
Red (Taylor's Version),FALSE,12/11/2021,14,Everything Has Changed (Taylor's Version),Taylor Swift,Ed Sheeran,FALSE,NA,,
Red (Taylor's Version),FALSE,12/11/2021,15,Starlight (Taylor's Version),Taylor Swift,NA,FALSE,NA,,
Red (Taylor's Version),FALSE,12/11/2021,16,Begin Again (Taylor's Version),Taylor Swift,NA,FALSE,NA,,
Red (Taylor's Version),FALSE,12/11/2021,17,The Moment I Knew (Taylor's Version),Taylor Swift,NA,FALSE,NA,,
Red (Taylor's Version),FALSE,12/11/2021,18,Come Back...Be Here (Taylor's Version),Taylor Swift,NA,FALSE,NA,,
Red (Taylor's Version),FALSE,12/11/2021,19,Girl At Home (Taylor's Version),Taylor Swift,NA,FALSE,NA,,
Red (Taylor's Version),FALSE,12/11/2021,20,State Of Grace (Acoustic Version) [Taylor's Version],Taylor Swift,NA,FALSE,NA,,
Red (Taylor's Version),FALSE,12/11/2021,21,Ronan (Taylor's Version),Taylor Swift,NA,FALSE,NA,,
